game_id,date,home_team,away_team,matchup,home_won,home_score,away_score,margin,total_points,h_wins,h_losses,h_win_pct,h_l10_wins,h_l10_pct,h_l5_wins,h_l5_pct,h_streak,h_home_win_pct,h_away_win_pct,h_avg_pts_scored,h_avg_pts_allowed,h_net_rating_proxy,h_l10_avg_scored,h_l10_avg_allowed,h_l10_net,h_rest_days,h_b2b,h_three_in_four,h_close_win_pct,h_blowout_wins,h_blowout_losses,h_avg_margin,h_games_played,a_wins,a_losses,a_win_pct,a_l10_wins,a_l10_pct,a_l5_wins,a_l5_pct,a_streak,a_home_win_pct,a_away_win_pct,a_avg_pts_scored,a_avg_pts_allowed,a_net_rating_proxy,a_l10_avg_scored,a_l10_avg_allowed,a_l10_net,a_rest_days,a_b2b,a_three_in_four,a_close_win_pct,a_blowout_wins,a_blowout_losses,a_avg_margin,a_games_played,diff_win_pct,diff_l10_pct,diff_net_rating,diff_l10_net,diff_streak,diff_rest_days,diff_close_win_pct,home_b2b,away_b2b,both_b2b,home_3in4,away_3in4,h_avg_height_inches,h_max_height_inches,h_tallest_shortest_gap,h_total_blocks,h_avg_age,h_roster_size_played,a_avg_height_inches,a_max_height_inches,a_tallest_shortest_gap,a_total_blocks,a_avg_age,a_roster_size_played,diff_avg_height,diff_blocks,diff_avg_age,h_opp_is_good,a_opp_is_good,h_opp_strength,a_opp_strength,diff_opp_strength,h_win_rate_vs_good,h_win_rate_vs_bad,a_win_rate_vs_good,a_win_rate_vs_bad,h_margin_vs_good,h_margin_vs_bad,a_margin_vs_good,a_margin_vs_bad,diff_wr_vs_good,diff_wr_vs_bad,diff_margin_vs_good,diff_margin_vs_bad,h_form_momentum,a_form_momentum,diff_form_momentum,h_l5_momentum,a_l5_momentum,diff_l5_momentum,h_scoring_trend,a_scoring_trend,h_defense_trend,a_defense_trend,diff_scoring_trend,diff_defense_trend,h_blowout_rate,a_blowout_rate,h_blowout_loss_rate,a_blowout_loss_rate,diff_blowout_rate,h_home_away_split,a_home_away_split,h_venue_edge
18446835,2025-10-24,NYK,BOS,BOS @ NYK,1,105,95,10,200,1,0,1.0,1,1.0,1,1.0,1,1.0,0.0,119.0,111.0,8.0,119.0,111.0,8.0,1,0,0,0.0,0,0,8.0,1,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,116.0,117.0,-1.0,116.0,117.0,-1.0,1,0,0,0.0,0,0,-1.0,1,1.0,1.0,9.0,9.0,2,0,0.0,0,0,0,0,0,77.5,84,10,4,0.0,10,77.6,84,11,7,0.0,9,-0.1,-3,0.0,0,1,0.0,1.0,-1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18446837,2025-10-24,ORL,ATL,ATL @ ORL,0,107,111,-4,218,1,0,1.0,1,1.0,1,1.0,1,1.0,0.0,125.0,121.0,4.0,125.0,121.0,4.0,1,0,0,1.0,0,0,4.0,1,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,118.0,138.0,-20.0,118.0,138.0,-20.0,1,0,0,0.0,0,1,-20.0,1,1.0,1.0,24.0,24.0,2,0,1.0,0,0,0,0,0,79.8,83,11,3,0.0,9,78.7,83,9,5,0.0,9,1.1,-2,0.0,0,1,0.0,1.0,-1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
18446838,2025-10-24,BKN,CLE,CLE @ BKN,0,124,131,-7,255,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,117.0,136.0,-19.0,117.0,136.0,-19.0,1,0,0,0.0,0,1,-19.0,1,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,111.0,119.0,-8.0,111.0,119.0,-8.0,1,0,0,0.0,0,0,-8.0,1,0.0,0.0,-11.0,-11.0,0,0,0.0,0,0,0,0,0,79.9,83,8,0,0.0,10,78.2,83,10,5,0.0,10,1.7,-5,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18446839,2025-10-24,TOR,MIL,MIL @ TOR,0,116,122,-6,238,1,0,1.0,1,1.0,1,1.0,1,0.0,1.0,138.0,118.0,20.0,138.0,118.0,20.0,1,0,0,0.0,1,0,20.0,1,1,0,1.0,1,1.0,1,1.0,1,1.0,0.0,133.0,120.0,13.0,133.0,120.0,13.0,1,0,0,0.0,0,0,13.0,1,0.0,0.0,7.0,7.0,0,0,0.0,0,0,0,0,0,78.7,84,11,3,0.0,10,78.6,83,9,5,0.0,9,0.1,-2,0.0,1,1,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0
18446841,2025-10-24,MEM,MIA,MIA @ MEM,0,114,146,-32,260,1,0,1.0,1,1.0,1,1.0,1,1.0,0.0,128.0,122.0,6.0,128.0,122.0,6.0,1,0,0,0.0,0,0,6.0,1,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,121.0,125.0,-4.0,121.0,125.0,-4.0,1,0,0,0.0,0,0,-4.0,1,1.0,1.0,10.0,10.0,2,0,0.0,0,0,0,0,0,78.5,84,11,4,0.0,13,78.1,84,12,4,0.0,12,0.4,0,0.0,0,1,0.0,1.0,-1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18446842,2025-10-24,NOP,SAS,SAS @ NOP,0,116,120,-4,236,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,122.0,128.0,-6.0,122.0,128.0,-6.0,1,0,0,0.0,0,0,-6.0,1,1,0,1.0,1,1.0,1,1.0,1,0.0,1.0,125.0,92.0,33.0,125.0,92.0,33.0,1,0,0,0.0,1,0,33.0,1,-1.0,-1.0,-39.0,-39.0,-2,0,0.0,0,0,0,0,0,78.4,81,6,3,0.0,8,80.0,88,17,13,0.0,9,-1.6,-10,0.0,1,0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0
18446843,2025-10-24,DAL,WAS,WAS @ DAL,0,107,117,-10,224,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,92.0,125.0,-33.0,92.0,125.0,-33.0,1,0,0,0.0,0,1,-33.0,1,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,120.0,133.0,-13.0,120.0,133.0,-13.0,1,0,0,0.0,0,0,-13.0,1,0.0,0.0,-20.0,-20.0,0,0,0.0,0,0,0,0,0,78.9,85,14,5,0.0,11,78.8,84,9,8,0.0,10,0.1,-3,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18446844,2025-10-24,POR,GSW,GSW @ POR,1,139,119,20,258,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,114.0,118.0,-4.0,114.0,118.0,-4.0,1,0,0,0.0,0,0,-4.0,1,1,0,1.0,1,1.0,1,1.0,1,1.0,0.0,137.0,131.0,6.0,137.0,131.0,6.0,0,1,0,0.0,0,0,6.0,1,-1.0,-1.0,-10.0,-10.0,-2,1,0.0,0,1,0,0,0,79.1,86,10,4,0.0,10,77.3,84,10,3,0.0,13,1.8,1,0.0,1,0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18446845,2025-10-24,SAC,UTA,UTA @ SAC,1,105,104,1,209,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,116.0,120.0,-4.0,116.0,120.0,-4.0,1,0,0,0.0,0,0,-4.0,1,1,0,1.0,1,1.0,1,1.0,1,1.0,0.0,129.0,108.0,21.0,129.0,108.0,21.0,1,0,0,0.0,1,0,21.0,1,-1.0,-1.0,-25.0,-25.0,-2,0,0.0,0,0,0,0,0,77.8,82,9,4,0.0,10,81.0,86,10,1,0.0,10,-3.2,3,0.0,1,0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0
18446846,2025-10-24,LAC,PHX,PHX @ LAC,1,129,102,27,231,0,1,0.0,0,0.0,0,0.0,-1,0.0,0.0,108.0,129.0,-21.0,108.0,129.0,-21.0,1,0,0,0.0,0,1,-21.0,1,1,0,1.0,1,1.0,1,1.0,1,1.0,0.0,120.0,116.0,4.0,120.0,116.0,4.0,1,0,0,1.0,0,0,4.0,1,-1.0,-1.0,-25.0,-25.0,-2,0,-1.0,0,0,0,0,0,78.6,85,13,5,0.0,14,78.4,85,12,4,0.0,13,0.2,1,0.0,1,0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
